id_execucao,estado_inicial,iteracoes,geracao_parada,tempo_ms,estado_final,h_final,fitness_final,sucesso,tamanho_populacao
1,"[3, 1, 0, 4, 4, 6, 3, 4]",293,293,402.96,"[3, 1, 6, 4, 0, 7, 5, 2]",0,28,True,100
2,"[1, 1, 7, 1, 1, 6, 5, 0]",329,329,455.18,"[4, 6, 3, 0, 2, 7, 5, 1]",0,28,True,100
3,"[6, 7, 7, 6, 6, 7, 6, 1]",413,413,570.06,"[3, 0, 4, 7, 5, 2, 6, 1]",0,28,True,100
4,"[2, 1, 5, 4, 2, 3, 5, 1]",615,615,845.52,"[5, 2, 6, 3, 0, 7, 1, 4]",0,28,True,100
5,"[1, 7, 4, 7, 1, 7, 7, 2]",1000,1000,1378.06,"[1, 4, 0, 3, 5, 7, 2, 6]",1,27,False,100
6,"[1, 6, 0, 7, 2, 2, 4, 4]",148,148,203.79,"[4, 1, 3, 6, 2, 7, 5, 0]",0,28,True,100
7,"[6, 6, 7, 5, 5, 6, 0, 1]",1000,1000,1377.45,"[6, 4, 6, 1, 3, 5, 7, 2]",1,27,False,100
8,"[5, 4, 6, 2, 5, 1, 5, 5]",350,350,486.1,"[4, 0, 7, 3, 1, 6, 2, 5]",0,28,True,100
9,"[7, 3, 5, 7, 7, 3, 6, 3]",80,80,111.82,"[5, 3, 6, 0, 7, 1, 4, 2]",0,28,True,100
10,"[4, 4, 7, 7, 7, 1, 5, 3]",133,133,184.57,"[2, 4, 1, 7, 5, 3, 6, 0]",0,28,True,100
11,"[7, 1, 5, 5, 4, 2, 6, 7]",251,251,351.37,"[7, 2, 0, 5, 1, 4, 6, 3]",0,28,True,100
12,"[4, 1, 6, 7, 3, 0, 0, 2]",107,107,146.87,"[1, 6, 4, 7, 0, 3, 5, 2]",0,28,True,100
13,"[7, 0, 4, 4, 4, 3, 2, 3]",330,330,451.7,"[3, 5, 7, 1, 6, 0, 2, 4]",0,28,True,100
14,"[5, 2, 4, 5, 4, 3, 7, 6]",180,180,248.37,"[2, 5, 1, 4, 7, 0, 6, 3]",0,28,True,100
15,"[0, 2, 5, 0, 6, 7, 1, 3]",370,370,510.01,"[2, 5, 3, 0, 7, 4, 6, 1]",0,28,True,100
16,"[3, 0, 7, 3, 6, 1, 5, 0]",91,91,126.33,"[2, 4, 1, 7, 0, 6, 3, 5]",0,28,True,100
17,"[6, 6, 4, 7, 6, 5, 7, 5]",253,253,347.72,"[6, 0, 2, 7, 5, 3, 1, 4]",0,28,True,100
18,"[4, 0, 1, 7, 5, 1, 4, 2]",208,208,285.76,"[1, 6, 2, 5, 7, 4, 0, 3]",0,28,True,100
