id_execucao,estado_inicial,iteracoes,iter_busca_local,tempo_ms,estado_final,h_final,sucesso,alpha
1,"[2, 4, 0, 2, 5, 5, 3, 3]",9,10,1.67,"[6, 4, 2, 0, 5, 7, 1, 3]",0,True,0.3
2,"[2, 7, 1, 5, 0, 1, 0, 7]",7,9,1.38,"[2, 6, 1, 7, 5, 3, 0, 4]",0,True,0.3
3,"[6, 7, 2, 6, 3, 6, 7, 0]",4,5,0.82,"[6, 3, 1, 7, 5, 0, 2, 4]",0,True,0.3
4,"[5, 7, 3, 5, 6, 3, 0, 4]",3,2,0.36,"[3, 1, 7, 4, 6, 0, 2, 5]",0,True,0.3
5,"[1, 2, 3, 0, 5, 6, 1, 7]",1,1,0.16,"[4, 0, 7, 5, 2, 6, 1, 3]",0,True,0.3
6,"[5, 3, 4, 1, 6, 0, 1, 1]",6,7,1.1,"[6, 2, 7, 1, 4, 0, 5, 3]",0,True,0.3
7,"[1, 6, 4, 7, 0, 3, 3, 0]",9,10,1.57,"[3, 6, 2, 7, 1, 4, 0, 5]",0,True,0.3
8,"[0, 6, 4, 1, 5, 3, 0, 5]",9,10,1.57,"[2, 6, 1, 7, 5, 3, 0, 4]",0,True,0.3
9,"[5, 2, 3, 3, 7, 5, 0, 6]",5,4,0.68,"[4, 2, 7, 3, 6, 0, 5, 1]",0,True,0.3
10,"[0, 7, 5, 6, 6, 3, 0, 5]",6,6,0.97,"[3, 6, 2, 7, 1, 4, 0, 5]",0,True,0.3
11,"[5, 4, 4, 5, 2, 5, 6, 2]",2,4,0.57,"[6, 1, 3, 0, 7, 4, 2, 5]",0,True,0.3
12,"[6, 4, 1, 7, 7, 5, 3, 0]",2,3,0.59,"[4, 6, 0, 3, 1, 7, 5, 2]",0,True,0.3
13,"[4, 7, 2, 2, 2, 2, 3, 6]",1,0,0.05,"[3, 0, 4, 7, 1, 6, 2, 5]",0,True,0.3
14,"[2, 4, 6, 2, 4, 0, 3, 3]",1,1,0.17,"[2, 7, 3, 6, 0, 5, 1, 4]",0,True,0.3
15,"[6, 0, 5, 6, 5, 1, 3, 7]",1,0,0.05,"[4, 1, 3, 6, 2, 7, 5, 0]",0,True,0.3
16,"[6, 6, 1, 0, 0, 3, 4, 3]",6,10,1.64,"[2, 5, 3, 0, 7, 4, 6, 1]",0,True,0.3
17,"[4, 6, 5, 2, 4, 3, 3, 2]",14,15,2.64,"[4, 0, 7, 3, 1, 6, 2, 5]",0,True,0.3
18,"[5, 1, 3, 1, 2, 2, 6, 2]",5,4,0.66,"[1, 6, 2, 5, 7, 4, 0, 3]",0,True,0.3
19,"[5, 1, 4, 4, 4, 2, 5, 3]",1,0,0.03,"[3, 6, 4, 2, 0, 5, 7, 1]",0,True,0.3
20,"[4, 4, 3, 3, 1, 2, 4, 5]",2,2,0.32,"[4, 0, 7, 3, 1, 6, 2, 5]",0,True,0.3
21,"[5, 4, 1, 1, 2, 6, 2, 1]",37,40,6.54,"[4, 1, 5, 0, 6, 3, 7, 2]",0,True,0.3
22,"[0, 4, 5, 4, 2, 4, 7, 5]",1,0,0.04,"[3, 0, 4, 7, 5, 2, 6, 1]",0,True,0.3
23,"[6, 6, 6, 1, 6, 0, 1, 3]",7,7,1.22,"[5, 3, 1, 7, 4, 6, 0, 2]",0,True,0.3
24,"[0, 0, 4, 0, 4, 5, 4, 7]",3,3,0.52,"[2, 5, 1, 6, 4, 0, 7, 3]",0,True,0.3
25,"[7, 2, 7, 6, 5, 1, 1, 1]",1,0,0.04,"[2, 5, 1, 6, 0, 3, 7, 4]",0,True,0.3
26,"[0, 2, 1, 2, 7, 4, 6, 2]",1,1,0.18,"[7, 1, 3, 0, 6, 4, 2, 5]",0,True,0.3
27,"[2, 1, 1, 7, 4, 5, 6, 1]",3,3,0.51,"[5, 2, 4, 6, 0, 3, 1, 7]",0,True,0.3
28,"[4, 0, 7, 7, 1, 7, 1, 5]",3,2,0.38,"[3, 5, 0, 4, 1, 7, 2, 6]",0,True,0.3
29,"[2, 3, 2, 6, 1, 1, 4, 6]",1,0,0.04,"[4, 1, 5, 0, 6, 3, 7, 2]",0,True,0.3
30,"[4, 1, 6, 6, 7, 2, 4, 1]",7,8,1.69,"[5, 1, 6, 0, 2, 4, 7, 3]",0,True,0.3
31,"[3, 3, 5, 0, 7, 7, 6, 1]",4,3,0.64,"[2, 6, 1, 7, 5, 3, 0, 4]",0,True,0.3
32,"[7, 3, 1, 2, 5, 1, 0, 2]",7,8,1.58,"[4, 7, 3, 0, 6, 1, 5, 2]",0,True,0.3
33,"[6, 0, 0, 0, 4, 5, 6, 3]",1,0,0.04,"[2, 4, 7, 3, 0, 6, 1, 5]",0,True,0.3
34,"[7, 6, 4, 5, 7, 2, 1, 6]",4,3,0.6,"[5, 3, 0, 4, 7, 1, 6, 2]",0,True,0.3
35,"[4, 5, 6, 3, 7, 0, 7, 7]",7,7,1.12,"[2, 4, 7, 3, 0, 6, 1, 5]",0,True,0.3
36,"[3, 2, 1, 2, 0, 1, 4, 5]",6,8,1.2,"[4, 0, 3, 5, 7, 1, 6, 2]",0,True,0.3
37,"[2, 0, 4, 3, 1, 6, 0, 2]",1,0,0.03,"[3, 1, 6, 2, 5, 7, 0, 4]",0,True,0.3
38,"[7, 2, 3, 0, 4, 3, 4, 3]",5,5,0.81,"[2, 4, 7, 3, 0, 6, 1, 5]",0,True,0.3
39,"[5, 2, 6, 2, 0, 6, 6, 5]",3,4,0.62,"[5, 2, 6, 1, 3, 7, 0, 4]",0,True,0.3
40,"[5, 1, 0, 2, 1, 7, 1, 0]",6,8,1.23,"[5, 2, 6, 1, 7, 4, 0, 3]",0,True,0.3
41,"[0, 4, 5, 3, 3, 0, 5, 1]",4,5,0.78,"[3, 5, 0, 4, 1, 7, 2, 6]",0,True,0.3
42,"[1, 0, 1, 1, 2, 6, 5, 7]",2,2,0.33,"[4, 1, 5, 0, 6, 3, 7, 2]",0,True,0.3
43,"[5, 0, 0, 4, 1, 7, 3, 7]",5,7,1.06,"[3, 0, 4, 7, 5, 2, 6, 1]",0,True,0.3
44,"[4, 7, 2, 7, 0, 6, 2, 2]",2,4,0.58,"[3, 7, 0, 4, 6, 1, 5, 2]",0,True,0.3
45,"[7, 7, 0, 5, 4, 4, 0, 7]",3,2,0.36,"[5, 2, 0, 6, 4, 7, 1, 3]",0,True,0.3
46,"[6, 6, 0, 5, 2, 2, 4, 1]",6,6,1.01,"[4, 1, 3, 5, 7, 2, 0, 6]",0,True,0.3
47,"[3, 2, 7, 6, 6, 2, 1, 5]",9,8,1.32,"[4, 2, 0, 6, 1, 7, 5, 3]",0,True,0.3
48,"[0, 4, 6, 3, 7, 6, 5, 2]",1,1,0.16,"[3, 6, 2, 7, 1, 4, 0, 5]",0,True,0.3
