id_execucao,estado_inicial,iteracoes,geracao_parada,tempo_ms,estado_final,h_final,fitness_final,sucesso,tamanho_populacao
1,"[0, 3, 1, 0, 7, 2, 3, 2]",326,326,441.16,"[4, 6, 1, 5, 2, 0, 3, 7]",0,28,True,100
2,"[5, 7, 1, 5, 7, 4, 1, 5]",155,155,209.84,"[7, 3, 0, 2, 5, 1, 6, 4]",0,28,True,100
3,"[4, 2, 1, 4, 0, 5, 6, 2]",169,169,230.12,"[1, 5, 0, 6, 3, 7, 2, 4]",0,28,True,100
4,"[1, 0, 1, 4, 5, 4, 0, 6]",296,296,408.14,"[3, 6, 4, 2, 0, 5, 7, 1]",0,28,True,100
5,"[4, 4, 0, 3, 0, 4, 1, 6]",939,939,1272.53,"[5, 7, 1, 3, 0, 6, 4, 2]",0,28,True,100
6,"[5, 6, 2, 0, 7, 3, 0, 6]",18,18,24.57,"[4, 6, 0, 3, 1, 7, 5, 2]",0,28,True,100
7,"[0, 4, 0, 6, 4, 4, 1, 4]",567,567,765.77,"[2, 5, 1, 6, 4, 0, 7, 3]",0,28,True,100
8,"[0, 1, 4, 7, 3, 2, 3, 7]",1000,1000,1351.35,"[1, 5, 2, 6, 1, 7, 4, 0]",1,27,False,100
9,"[1, 1, 2, 0, 0, 5, 0, 6]",791,791,1068.31,"[4, 6, 1, 3, 7, 0, 2, 5]",0,28,True,100
10,"[1, 3, 7, 6, 5, 2, 5, 3]",80,80,108.6,"[4, 0, 3, 5, 7, 1, 6, 2]",0,28,True,100
11,"[3, 4, 0, 5, 3, 3, 7, 4]",824,824,1117.47,"[5, 2, 6, 1, 7, 4, 0, 3]",0,28,True,100
12,"[4, 0, 3, 1, 6, 2, 0, 6]",146,146,198.6,"[4, 6, 0, 3, 1, 7, 5, 2]",0,28,True,100
13,"[2, 2, 3, 2, 3, 1, 1, 3]",1000,1000,1355.28,"[4, 0, 7, 5, 7, 2, 6, 3]",1,27,False,100
